Codigo	Descricao	Descrição Inglês
14263600023	BUS MOD X2X LEFT ISOLATED W NODE NO.(X20-BM-15)	BUS MOD X2X LEFT ISOLATED W NODE No.(X20-BM-15)
11130877400	BUSH FOR LINK	BUSH FOR LINK
12602540200	BUTTON SILENCER - R 1/8"	BUTTON SILENCER - R 1/8"
	BUTUEIRA	
	CABO 1,5MM VERDE	
	CABO 2,5MM	
	CABO 4 FIOS 2,5MM	
11147252530	CABO DC EG CABEÇA 23	DC CABLE EG HEAD 23
11147250392	CABO DE ALIMENTAÇÃO SW PARA CBM	POWER CABLE SW TO CBM 
	CABO DE ATERRAMENTO	
11147250395	CABO DE CONEXÃO SW LTW200CE	CONNECTION CABLE SW LTW200CE
	CABO ELET FLEX 2,50MM PT 750V	
	CABO ELET.FLEX 185,00MM PT 1KV, 0A AFUMEX FREEN	
	CABO ELET.FLEX PP 4X2,5MM	
	CABO ELETRICO 10MM	
	CABO ELETRICO 1X1MM	
	CABO ELETRICO 1X4MM	
	CABO ELETRICO 4MM	
	CABO ELETRICO 4X4MM	
	CABO ELETRICO 6MM AZUL	
	CABO ELETRICO AZUL 1,75 AMP	
	CABO ELETRICO P/ATERRAMENTO	
	CABO ELETRICO VERMELHO M6MM	
11147250391	CABO ENCODER LTW200CE BLIDAGEM EXT	ENCONDER CABLE LTW200CE EXT SHIELDING
	CABO FIO ELÉTRICO 4MM	
	CABO FIO ELÉTRICO FLEX 1,5MM	
	CABO FIO ELÉTRICO FLEX 16MM	
	CABO FIO PP 100	
	CABO FLEX 10MM 750V 50A PT	
	CABO FLEX 1X2,5MM	
	CABO FLEX 1X4MM	
	CABO FLEX 4X4MM	
	CABO FLEX 6MM	
	CABO FLEX VERDE 6MM	
	CABO PP + T 4MM	
	CABO PP 3X2,5MM 500V PT ( POR METRO )	
	CABO PP 4 FIOS 4MM	
	CABO PP 4MM	
	CABO PP 6MM	
	CABO PP XLPE 0,6/1KV 3X4MM PT	
	CACHIMBO	
	CADEADO	
	CADEADO 20MM	
	CADEADO 25 MM PAPAIZ	
	CADEADO 25MM	
	CADEADO 25MM PAPAIZ	
	CADEADO 50MM	
	CADEADO 50MM ST PAPAIZ	
	CADEADO CR-35MM	
	CADEADO E-25MM	
14037501600	CADEADO ROTATIVO TIPO 3P 16A	ROTARY CAM SWITCH PADLOCK TYPE 3P 16A
	CAFÉ EM PÓ 250G	
	CAFÉ MANAUS TRADICIONAL MOIDO 250G	
	CAFÉ TM CLASSICO SANTA CLARA 250G	
	CAFÉ TM CLÁSSICO SANTA CLARA 250G	
49	CAIXA CV GRANDE (723X483X283)	
	CAIXA HORTIFRUTI VERDE	
	CAIXA P/ARQ PLAST ABERTO AZUL	
	CAIXA P/ARQ PLAST ABERTO AZUL POLIBRAS	
	CAIXA P/FRIGORIFICO 34LTS	
	CAIXA P/QUADRO COM. AÇO C/F 400X400X200MM IP66	
	CAIXA P/QUADRO COM. AÇO C/F 800X600X250MM CE	
GK8-6-3	CALCADOR DIREITO	
JYF-E30-15	CALÇO DA MESA	CLAM 
JYF-J30-07	CALÇO DO SUPORTE DA MESA	BEARING BUSHING
24	CALCULADORA DE BOLSO 8 DIG	
	CALCULADORA DE MESA	
	CALCULADORA DE MESA 12 DIG MX-12B CASIO	
	CALCULADORA DE MESA 12 DIG PRETA	
11303541000	CAM FOLLOWER	
11147250436	CAM INVERSOR LS20 PROGRAMADA	PROGRAMED LS20 INVERTER CAM
11158392420	CAM ROLLER FT	
	CAMARA DE AR C/EMBALA PLAST 350X8	
11991000100	CAN REPEATER MODIFIED	CAN REPEATER MODIFIED
	CANALETA PERF. 80X80X2,0CM CZ RA 8080-E/A	
	CANECA TRANSP 3L-380	
	CANETA 1.0 ECONOMIC MEDIA AZUL COMPACTOR	
	CANETA BIC CRISTAL MEDIA AZUL	
	CANETA BIC CRISTAL MÉDIA AZUL	
33	CANETA ECON PRETA	
15	CANETA ECON VERMELHA	
	CANETA ECONOMIC MEDIA AZUL	
	CANETA ECONOMIC MEDIA AZUL COMPACTOR	
5000531	CANETA ESFEROGRAFICA AZUL	
	CANTONEIRA 3/4X1/8X6M	
11130837600	CAP	CAP
	CAP 1/2"	
	CAP 3/4	
5003641	CAP PVC ROSCA 1/2	
	CAP PVC ROSCAVEL 1/2"	
	CAP PVC SD 25MM	
	CAP SOLD 25MM	
11206696010	CAPA DE PROTEÇÃO PP	PP PROTECTIVE SHEEL 
	CAPA/	
	CAPA/CONE ROLAMENTO EIXO DIR (GR) (GBR)	
	CAPA/CONE ROLAMENTO EIXO DIR (PQ) (GBR)	
	CAPA/CONE ROLAMENTO SUP/INF	
